user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration,date_day,wait_duration,tariff_plan,date_start,call_type,direction_label,duration_minutes,wait_seconds
166377,2019-08-20 00:00:00+03:00,out,False,880028,True,13,0,572,2019-08-20,572,B,2019-08-01,External,Outgoing,0.0,572
166377,2019-08-20 00:00:00+03:00,in,False,880028,False,1,30,33,2019-08-20,3,B,2019-08-01,External,Incoming,0.5,3
166377,2019-08-20 00:00:00+03:00,out,False,880026,True,9,0,53,2019-08-20,53,B,2019-08-01,External,Outgoing,0.0,53
166377,2019-08-21 00:00:00+03:00,out,False,880026,True,8,0,174,2019-08-21,174,B,2019-08-01,External,Outgoing,0.0,174
166377,2019-08-21 00:00:00+03:00,out,False,880028,True,22,0,717,2019-08-21,717,B,2019-08-01,External,Outgoing,0.0,717
166377,2019-08-21 00:00:00+03:00,out,False,880028,False,19,3496,3613,2019-08-21,117,B,2019-08-01,External,Outgoing,58.266666666666666,117
166377,2019-08-21 00:00:00+03:00,out,False,880026,False,23,2692,2844,2019-08-21,152,B,2019-08-01,External,Outgoing,44.86666666666667,152
166377,2019-08-22 00:00:00+03:00,out,False,880026,True,6,0,55,2019-08-22,55,B,2019-08-01,External,Outgoing,0.0,55
166377,2019-08-22 00:00:00+03:00,out,False,880026,False,23,2979,3062,2019-08-22,83,B,2019-08-01,External,Outgoing,49.65,83
166377,2019-08-22 00:00:00+03:00,out,False,880028,True,18,0,710,2019-08-22,710,B,2019-08-01,External,Outgoing,0.0,710
166377,2019-08-22 00:00:00+03:00,out,False,880028,False,15,1866,1992,2019-08-22,126,B,2019-08-01,External,Outgoing,31.1,126
166377,2019-08-22 00:00:00+03:00,in,False,880020,False,1,33,49,2019-08-22,16,B,2019-08-01,External,Incoming,0.55,16
166377,2019-08-23 00:00:00+03:00,in,False,880026,False,1,45,52,2019-08-23,7,B,2019-08-01,External,Incoming,0.75,7
166377,2019-08-23 00:00:00+03:00,out,False,880026,True,11,0,54,2019-08-23,54,B,2019-08-01,External,Outgoing,0.0,54
166377,2019-08-23 00:00:00+03:00,in,False,880028,False,1,41,54,2019-08-23,13,B,2019-08-01,External,Incoming,0.6833333333333333,13
166377,2019-08-23 00:00:00+03:00,out,False,880028,False,24,2242,2413,2019-08-23,171,B,2019-08-01,External,Outgoing,37.36666666666667,171
166377,2019-08-23 00:00:00+03:00,out,False,880026,False,43,3435,3654,2019-08-23,219,B,2019-08-01,External,Outgoing,57.25,219
166377,2019-08-23 00:00:00+03:00,out,False,880028,True,24,0,597,2019-08-23,597,B,2019-08-01,External,Outgoing,0.0,597
166377,2019-08-26 00:00:00+03:00,out,True,880022,True,3,0,0,2019-08-26,0,B,2019-08-01,Internal,Outgoing,0.0,0
166377,2019-08-26 00:00:00+03:00,in,False,880028,False,2,285,302,2019-08-26,17,B,2019-08-01,External,Incoming,4.75,17
166377,2019-08-26 00:00:00+03:00,out,False,880026,False,28,3298,3395,2019-08-26,97,B,2019-08-01,External,Outgoing,54.96666666666667,97
166377,2019-08-26 00:00:00+03:00,out,False,880028,True,4,0,241,2019-08-26,241,B,2019-08-01,External,Outgoing,0.0,241
166377,2019-08-26 00:00:00+03:00,out,False,880022,False,3,1079,1093,2019-08-26,14,B,2019-08-01,External,Outgoing,17.983333333333334,14
166377,2019-08-26 00:00:00+03:00,out,False,880028,False,5,426,487,2019-08-26,61,B,2019-08-01,External,Outgoing,7.1,61
166377,2019-08-26 00:00:00+03:00,out,False,880026,True,2,0,46,2019-08-26,46,B,2019-08-01,External,Outgoing,0.0,46
166377,2019-08-27 00:00:00+03:00,out,False,880026,False,22,3242,3329,2019-08-27,87,B,2019-08-01,External,Outgoing,54.03333333333333,87
166377,2019-08-27 00:00:00+03:00,out,False,880026,True,5,0,119,2019-08-27,119,B,2019-08-01,External,Outgoing,0.0,119
166377,2019-08-27 00:00:00+03:00,out,False,880028,True,27,0,983,2019-08-27,983,B,2019-08-01,External,Outgoing,0.0,983
166377,2019-08-27 00:00:00+03:00,out,False,880028,False,20,2784,2979,2019-08-27,195,B,2019-08-01,External,Outgoing,46.4,195
166377,2019-08-28 00:00:00+03:00,out,False,880026,True,11,0,129,2019-08-28,129,B,2019-08-01,External,Outgoing,0.0,129
166377,2019-08-28 00:00:00+03:00,out,False,880026,False,16,1783,1868,2019-08-28,85,B,2019-08-01,External,Outgoing,29.716666666666665,85
166377,2019-08-28 00:00:00+03:00,out,False,880028,False,19,1485,1777,2019-08-28,292,B,2019-08-01,External,Outgoing,24.75,292
166377,2019-08-28 00:00:00+03:00,out,False,880028,True,29,0,993,2019-08-28,993,B,2019-08-01,External,Outgoing,0.0,993
166377,2019-08-29 00:00:00+03:00,out,False,880026,False,22,3244,3396,2019-08-29,152,B,2019-08-01,External,Outgoing,54.06666666666667,152
166377,2019-08-29 00:00:00+03:00,in,False,880026,False,1,48,52,2019-08-29,4,B,2019-08-01,External,Incoming,0.8,4
166377,2019-08-29 00:00:00+03:00,out,False,880028,True,16,0,662,2019-08-29,662,B,2019-08-01,External,Outgoing,0.0,662
166377,2019-08-29 00:00:00+03:00,out,False,880026,True,23,0,321,2019-08-29,321,B,2019-08-01,External,Outgoing,0.0,321
166377,2019-08-29 00:00:00+03:00,out,False,880028,False,25,2323,2595,2019-08-29,272,B,2019-08-01,External,Outgoing,38.71666666666667,272
166377,2019-08-30 00:00:00+03:00,out,False,880028,True,8,0,384,2019-08-30,384,B,2019-08-01,External,Outgoing,0.0,384
