operator_id,incoming_calls,missed_calls,wait_seconds,missed_rate,avg_wait_sec,outgoing_calls,tariff_plan,high_missed_rate,high_wait,low_outbound,incoming_risk
895782,13.0,0.0,249.0,0.0,19.153846153846153,0.0,C,False,False,True,False
895786,36.0,0.0,833.0,0.0,23.13888888888889,0.0,C,False,True,True,False
896008,0.0,0.0,0.0,0.0,0.0,193.0,A,False,False,False,False
896010,10.0,0.0,186.0,0.0,18.6,4.0,A,False,False,True,False
896012,244.0,1.0,1471.0,0.004098360655737705,6.028688524590164,0.0,A,False,False,True,False
896014,14.0,0.0,189.0,0.0,13.5,8.0,A,False,False,True,False
896016,71.0,0.0,551.0,0.0,7.76056338028169,254.0,A,False,False,False,False
896018,8.0,0.0,217.0,0.0,27.125,9.0,A,False,True,True,False
896020,16.0,0.0,15.0,0.0,0.9375,0.0,A,False,False,True,False
896382,36.0,0.0,430.0,0.0,11.944444444444445,392.0,B,False,False,False,False
896384,0.0,0.0,0.0,0.0,0.0,28.0,B,False,False,True,False
896386,0.0,0.0,0.0,0.0,0.0,76.0,B,False,False,False,False
896390,0.0,0.0,0.0,0.0,0.0,97.0,B,False,False,False,False
896428,23.0,0.0,189.0,0.0,8.217391304347826,185.0,C,False,False,False,False
896430,1.0,0.0,13.0,0.0,13.0,14.0,C,False,False,True,False
896536,182.0,2.0,3783.0,0.01098901098901099,20.785714285714285,0.0,A,True,False,True,False
896538,14.0,1.0,665.0,0.07142857142857142,47.5,0.0,A,True,True,True,False
896708,66.0,0.0,792.0,0.0,12.0,152.0,B,False,False,False,False
897030,6.0,0.0,76.0,0.0,12.666666666666666,75.0,C,False,False,False,False
897872,3.0,1.0,65.0,0.3333333333333333,21.666666666666668,49.0,C,True,True,True,False
897894,0.0,0.0,0.0,0.0,0.0,19.0,C,False,False,True,False
898414,24.0,1.0,258.0,0.041666666666666664,10.75,59.0,B,True,False,False,False
898422,64.0,1.0,467.0,0.015625,7.296875,23.0,B,True,False,True,False
898434,0.0,0.0,0.0,0.0,0.0,10.0,B,False,False,True,False
898558,22.0,0.0,622.0,0.0,28.272727272727273,0.0,C,False,True,True,False
898560,19.0,0.0,624.0,0.0,32.8421052631579,0.0,C,False,True,True,False
898676,2.0,0.0,16.0,0.0,8.0,0.0,B,False,False,True,False
898892,12.0,0.0,199.0,0.0,16.583333333333332,82.0,C,False,False,False,False
898902,0.0,0.0,0.0,0.0,0.0,22.0,B,False,False,True,False
898906,19.0,0.0,228.0,0.0,12.0,127.0,B,False,False,False,False
898920,13.0,0.0,194.0,0.0,14.923076923076923,37.0,B,False,False,True,False
899076,0.0,0.0,0.0,0.0,0.0,2.0,B,False,False,True,False
